CASE_ID,GPS_NAC_ADOPTER,SURVEY_SOURCE,HOME,STATE,AGE_BINNED,EDUC_BINNED,F1,F2,TRIG1,TRIG3,TRIG2,TRIG4,N1,N2,N3,F3,F4,CIJM1,CIJM2,CIJM3,CNS1,CNS2,CNS4,VB1,VB2,VB3,VA1,VA2,VA3,VT1,VT2,VT3,VE1,VE2,VE4,VO1,VO2,VO3,PN1,PN2,PN3,E2,BTE7,BB1,BB2,BB3,BTE8,BE13,BE10,Co3,BE11,M3,BO15,BTE9,PBC7,PBC9,M2,PBC3,M4,PBC5,M1,Tru5,Tr1,Tr2,Tr3,Dep1,Dep2,Dep3,M6,Suit1,Suit2,O3,SN1,SN4,SN5,DV1,DV2,DV3,DV4,DV7,INT_Q1,INT_Q2,INT_Q3,INT_Q4,INT_Q5,INT_Q6,INT_Q7,TR_GOV,TR_COMP,TR_TRADE,TR_UTIL,TR_ONLINE,TR_FRFAM,TR_NEIGHB,TR_ENVORG,TR_UNIV,INV_NEIGHFR,INV_PARTY,INV_ONLINECUST,INV_ONLINEVIDEO,INV_REVIEWS,INV_FACEBK,INV_GOVTWEB,WINTER_NOPV_BINNED,SUMMER_NOPV_BINNED,BILLS,POWER,STANCE,SOCIAL,ECON,CITYYRS_BINNED,HMYRS_1_TEXT,SQFT_BINNED,GENDER,PEOPLE_TOT_3PLUS,HAVE_KIDS,EMPLOY_1,EMPLOY_2,EMPLOY_5,RETIRED,FINANCIAL,INCOME_BINNED
1,1,1,1,1,4,4,1,0,0,1,0,0,0,0,0,0,0,4,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,4,4,3,3,3,3,3,4,2,4,4,3,2,3,3,3,3,3,2,2,5,3,2,4,3,3,3,4,4,4,2,4,3,3,3,3,3,1,3,2,3,4,4,4,2,1,2,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,6,4,3,2,2,2,2,6,0,3,0,0,0,0,0,0,1,2,3
2,1,1,1,4,3,4,1,1,0,1,1,0,0,1,0,1,0,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,3,3,1,4,4,5,5,5,3,5,4,5,5,5,4,4,5,5,4,1,2,2,2,3,98,98,4,98,3,5,5,5,4,4,3,98,1,1,1,1,4,1,5,5,5,3,5,3,5,5,5,5,5,4,5,5,3,4,3,4,4,4,3,4,5,3,3,3,4,2,4,7,8,1,1,2,2,3,5,20,3,1,0,0,1,0,0,0,2,4
3,1,1,1,2,4,1,1,1,0,1,1,0,0,0,0,0,1,1,2,2,2,3,3,4,4,3,5,4,5,5,4,3,4,4,4,3,3,4,3,3,4,4,4,3,98,3,3,3,98,3,4,3,4,3,5,98,3,4,4,3,3,4,4,5,4,98,98,4,2,2,2,2,3,2,4,4,4,4,4,2,3,2,2,2,3,2,2,3,2,2,2,3,4,4,3,3,4,4,3,2,2,2,2,5,5,4,1,4,3,3,5,3,4,0,0,0,0,0,0,1,1,95
4,1,1,1,4,4,2,0,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,4,2,3,3,3,3,2,3,2,3,3,3,4,4,3,3,4,4,3,3,4,3,3,2,3,4,3,4,4,4,3,3,3,3,4,4,3,3,2,2,2,3,3,3,4,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2,1,2,3,2,3,3,4,3,5,6,15,2,0,0,0,0,0,0,1,1,4
5,1,1,1,4,4,1,0,1,1,1,0,0,1,0,0,1,0,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,2,4,3,2,3,3,2,3,4,4,4,98,3,3,4,2,2,1,2,3,2,4,4,4,4,4,4,3,4,3,4,4,3,4,3,2,3,3,3,4,4,3,3,5,5,5,5,4,2,3,4,3,3,1,97,3,3,6,5,3,0,0,0,0,0,0,1,2,3
6,1,1,1,1,3,2,1,1,1,1,1,0,0,0,1,1,0,3,3,3,3,3,3,3,4,3,3,3,3,4,5,4,3,3,2,3,3,3,1,1,2,2,2,1,1,2,1,1,2,1,1,4,4,5,5,3,3,5,5,3,5,2,4,4,3,2,5,5,3,4,4,4,98,98,98,3,3,2,2,1,3,1,1,2,2,1,2,3,1,1,3,4,5,4,1,3,5,1,1,1,4,1,1,7,8,3,1,4,4,5,6,10,3,0,0,0,0,0,0,1,1,95
7,1,1,1,1,2,3,1,1,0,1,0,1,0,0,0,1,1,4,4,4,3,3,4,4,4,3,4,4,5,4,4,3,2,4,4,4,4,5,5,4,5,5,4,3,3,4,4,98,3,4,4,1,1,2,3,4,98,4,3,4,3,5,4,3,2,3,3,3,2,4,2,1,4,1,4,5,4,4,4,3,4,4,3,3,4,4,5,4,3,3,1,3,5,3,4,4,4,2,3,2,3,2,4,3,4,3,3,2,1,2,5,20,1,1,0,0,0,0,1,0,2,3
8,1,1,1,4,1,4,0,1,0,0,0,0,0,0,0,0,0,4,4,3,4,4,4,4,3,3,3,4,5,4,3,4,3,4,3,4,4,5,4,4,4,3,4,5,4,3,4,3,3,3,4,3,2,4,4,4,4,4,4,3,4,3,4,5,3,4,4,4,4,4,4,5,3,3,4,4,4,4,3,5,3,3,3,3,3,3,3,2,4,4,3,3,5,4,2,2,3,3,4,3,2,2,2,8,7,4,1,1,3,3,7,43,2,0,0,0,0,1,0,0,3,1
9,1,1,1,1,4,2,0,1,0,0,0,1,0,0,0,0,0,4,4,4,3,3,3,4,4,4,5,4,4,5,5,4,5,4,0,3,4,4,4,3,5,98,4,98,98,4,4,4,4,4,5,98,2,3,98,98,98,4,98,98,98,5,4,4,5,98,4,98,98,98,3,2,4,2,5,5,4,4,98,3,4,4,4,4,4,5,5,1,3,4,3,4,4,4,4,4,4,4,5,5,5,4,4,6,6,4,4,4,4,4,5,20,4,0,0,0,0,0,0,1,1,4
10,1,1,1,2,4,4,0,0,0,1,0,0,0,0,0,0,0,2,3,2,2,2,4,5,3,2,5,5,5,5,5,2,2,3,4,3,2,3,98,3,3,5,98,98,98,4,5,3,4,98,98,98,3,98,4,98,98,98,98,4,4,4,4,4,99,98,98,3,2,3,3,2,98,98,98,4,98,98,3,2,2,2,1,1,4,4,3,2,3,1,1,1,4,4,3,3,4,4,2,2,2,1,2,,,4,3,2,2,2,7,15,4,1,0,0,0,1,0,0,1,95
11,1,1,1,3,3,3,1,1,1,1,1,0,1,0,1,1,1,4,4,4,4,3,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,5,3,3,4,5,1,5,5,4,4,4,4,4,3,4,4,4,3,4,4,5,3,4,3,3,4,3,4,3,4,4,1,1,1,3,4,1,4,5,5,3,5,3,5,5,3,5,5,4,5,4,4,4,4,4,4,4,4,4,4,3,5,5,5,3,4,6,10,4,2,2,1,2,6,20,4,0,0,0,1,0,0,0,1,95
12,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,5,3,3,3,3,3,3,4,5,4,5,5,4,3,3,1,3,3,3,3,2,4,3,3,4,98,4,3,4,4,4,3,3,2,2,2,3,98,5,3,98,3,4,2,5,4,3,4,4,1,2,1,1,4,4,3,5,4,4,4,98,2,2,2,2,2,1,3,3,3,3,3,3,4,4,3,3,5,5,5,5,1,1,4,5,9,4,2,3,3,4,4,30,2,1,1,1,0,1,0,0,3,1
13,1,1,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0,4,3,3,3,3,2,5,3,4,2,1,2,3,3,2,2,2,2,4,5,5,3,3,4,4,4,3,3,4,4,3,3,3,3,2,2,2,3,4,3,4,4,3,2,4,4,4,5,3,5,4,2,4,2,2,4,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,,3,4,4,98,98,4,2,3,1,,99,1,0,0,0,1,4
14,1,1,1,2,4,2,1,1,1,1,1,0,1,1,1,0,0,4,5,3,4,4,4,4,4,4,5,3,3,4,5,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,3,4,3,2,2,4,4,3,4,3,3,3,4,4,4,4,3,3,4,2,2,2,2,3,2,4,4,4,3,4,3,4,4,4,4,5,4,5,2,2,3,2,4,4,4,3,4,5,4,5,5,5,4,5,6,6,4,4,4,3,4,7,5,3,0,1,0,0,0,0,1,1,4
15,1,1,1,4,3,2,1,0,0,1,1,1,1,0,0,1,0,5,5,3,4,4,4,4,4,4,5,5,4,5,5,4,2,3,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,98,98,4,3,4,3,5,5,4,5,3,3,4,3,2,2,3,98,98,98,4,4,3,3,2,3,3,3,3,3,3,3,1,3,3,2,4,4,4,2,2,5,5,5,5,5,4,1,3,4,2,1,4,3,3,6,15,2,1,0,0,0,0,0,1,1,3
16,1,1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,3,3,3,2,2,2,3,3,3,5,4,4,5,5,5,3,4,2,3,3,2,3,3,3,2,3,2,2,3,98,4,2,1,2,2,3,2,5,3,3,5,3,4,3,5,5,5,5,3,5,98,3,3,3,2,98,3,98,5,5,3,3,1,2,1,1,1,2,2,2,1,3,1,2,2,4,4,2,2,5,3,3,2,2,1,1,5,4,4,1,3,3,3,4,15,1,1,,99,1,0,0,0,1,95
17,1,1,1,3,3,2,0,0,0,1,1,0,0,0,0,1,0,3,2,4,4,4,4,3,3,3,4,4,4,4,4,3,2,3,3,3,4,4,3,1,3,3,98,98,98,98,1,3,3,1,98,2,2,3,98,5,4,3,98,5,98,1,98,1,1,98,3,98,1,1,1,1,98,4,98,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,2,6,3,3,97,98,98,2,1,2,1,0,0,0,0,0,1,3,95
18,1,1,1,3,2,2,1,0,0,1,0,0,0,1,0,1,0,3,3,3,3,3,3,4,5,5,4,4,5,5,5,3,1,2,3,4,4,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,3,3,4,2,2,2,2,3,3,3,4,4,4,4,2,3,3,1,5,5,5,5,4,2,3,1,2,3,3,2,3,5,5,3,3,3,3,4,5,5,3,2,3,3,3,3,10,2,1,0,0,1,0,0,0,2,95
19,1,1,1,1,1,3,1,1,1,1,0,0,0,0,1,0,0,4,4,4,3,4,4,3,4,3,5,4,5,4,4,4,4,4,4,4,5,4,3,3,3,4,4,4,3,4,4,4,4,2,3,3,2,2,2,2,2,3,3,2,3,4,4,4,3,3,3,2,2,2,2,2,4,2,4,4,4,4,4,3,5,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,3,4,4,2,2,2,2,5,6,4,1,0,0,1,0,0,0,1,3
20,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,3,4,3,4,3,4,5,5,4,3,3,2,3,4,4,4,4,4,4,4,98,98,4,4,4,4,4,98,98,3,2,98,98,98,98,4,5,4,4,4,5,4,98,3,4,2,98,2,98,3,3,3,4,4,98,3,1,4,2,3,2,4,3,4,3,3,3,3,1,5,3,3,3,4,2,2,1,2,1,3,3,3,3,1,3,3,3,6,10,1,1,1,1,0,1,0,0,3,1
21,1,1,1,4,1,3,1,1,0,1,0,0,1,0,1,1,0,4,4,4,4,4,4,4,3,2,4,4,5,4,5,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,2,4,3,1,4,4,4,5,4,4,4,4,4,4,3,4,4,2,2,2,2,4,1,4,4,4,4,3,2,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,4,4,3,7,5,3,2,3,2,5,7,25,3,0,0,0,1,0,0,0,2,5
22,1,1,1,3,1,2,1,1,1,1,1,0,1,1,1,1,0,5,5,4,4,4,4,4,4,4,5,5,4,5,5,4,3,3,3,4,4,4,5,3,4,3,5,3,3,4,5,4,5,5,5,2,2,2,2,2,4,4,4,2,2,4,2,4,4,4,2,3,1,1,1,1,4,2,4,5,5,4,4,3,5,5,4,3,4,4,5,2,2,3,2,4,4,3,3,4,5,4,5,5,5,4,4,7,7,2,1,3,96,96,3,30,4,0,1,1,1,0,0,0,1,5
23,1,1,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,5,4,4,4,2,3,4,4,4,4,3,4,5,5,3,3,3,3,3,4,3,2,3,4,3,4,3,3,4,5,4,4,4,4,3,4,3,2,3,3,4,3,4,3,4,2,5,4,3,4,4,2,2,2,2,4,2,4,4,5,4,4,3,4,4,2,2,4,3,4,2,2,3,2,4,4,2,4,4,4,1,5,5,5,5,4,3,6,3,3,97,96,96,1,30,1,1,1,1,0,0,1,0,2,2
24,1,1,1,3,4,3,0,0,0,1,0,0,0,1,0,0,0,1,1,1,5,5,3,3,3,3,5,3,1,4,5,5,5,5,5,3,5,4,4,3,3,3,2,3,3,4,2,3,4,2,3,2,2,2,3,98,98,98,98,3,3,1,4,4,3,3,3,4,2,2,1,2,3,2,3,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,5,7,3,1,4,4,4,3,20,4,0,0,0,0,0,0,1,1,5
25,1,1,1,4,4,2,1,0,0,1,1,1,1,0,0,1,0,4,4,4,4,3,4,4,4,5,5,4,5,5,5,5,4,4,3,3,3,4,4,4,4,5,4,4,4,4,3,3,4,4,3,3,4,2,4,4,3,4,3,2,3,4,4,4,5,3,3,3,2,2,2,2,3,3,4,4,4,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,3,4,4,1,2,2,2,1,2,8,9,3,2,4,4,4,8,5,4,0,0,0,0,0,0,1,1,4
26,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,3,3,3,3,5,5,5,5,5,5,1,5,1,3,2,4,4,3,5,4,98,3,98,3,98,3,98,3,98,3,98,3,2,98,98,98,98,3,3,5,4,5,4,98,4,98,98,98,98,2,98,2,4,4,4,4,98,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,3,3,5,5,5,5,5,5,5,5,7,2,3,4,4,4,5,20,2,1,0,0,0,0,0,1,2,95
27,1,1,1,4,4,4,1,1,1,1,0,0,1,1,1,1,0,5,4,4,4,4,4,4,4,3,4,3,4,4,5,3,3,3,3,4,3,4,4,4,4,4,2,3,4,4,4,4,4,4,4,3,2,2,4,3,3,4,3,3,3,4,4,4,3,4,3,4,2,2,1,3,3,2,3,4,3,3,3,3,2,2,2,1,2,2,2,3,2,2,2,2,3,3,2,3,4,4,3,2,2,2,3,5,6,4,2,3,3,3,5,5,4,1,0,0,1,0,0,0,2,95
28,1,1,1,3,4,4,1,0,0,1,1,0,0,0,0,0,0,2,2,3,4,2,2,4,3,2,5,5,5,3,5,2,4,3,5,1,3,2,3,4,4,5,2,98,98,3,98,2,3,2,2,4,1,1,4,2,2,98,2,1,98,2,1,2,2,98,5,98,2,1,2,4,98,3,4,3,2,2,1,1,1,1,1,1,1,1,1,4,2,3,4,2,3,3,3,3,1,1,1,1,1,1,1,5,6,3,2,1,1,2,3,10,4,0,0,0,0,1,0,0,1,5
29,1,1,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,4,4,4,2,3,4,4,4,4,3,3,4,4,4,3,2,2,2,4,3,5,4,3,5,3,4,4,98,4,4,98,4,4,98,4,5,2,5,4,98,98,2,98,98,5,5,2,4,98,4,4,1,1,1,2,98,98,98,5,5,98,4,1,3,3,5,5,5,5,5,4,3,3,4,4,5,4,3,3,5,3,5,5,5,5,5,2,4,3,5,4,5,5,3,3,2,1,0,0,1,0,0,0,1,4
30,1,1,1,3,3,2,0,1,0,1,1,1,0,1,0,1,0,3,3,3,3,3,3,4,4,4,4,4,5,3,2,4,3,3,2,4,3,4,5,5,4,5,4,4,98,4,4,4,5,4,5,98,3,98,2,98,98,5,5,5,4,4,3,4,3,98,4,98,1,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,3,4,4,3,3,4,2,2,3,3,2,2,4,5,3,3,3,3,3,5,5,1,1,0,0,0,0,0,1,4,1
31,1,1,1,3,1,3,1,1,1,1,1,0,1,0,1,0,1,4,4,5,3,3,4,4,4,4,4,5,4,5,5,4,1,4,3,5,4,4,4,3,5,3,3,4,3,5,3,4,4,3,4,3,4,1,5,4,98,4,98,3,4,5,4,5,4,98,3,3,1,1,1,1,5,1,5,5,5,4,3,4,4,4,2,4,5,4,5,2,2,2,2,3,4,4,3,3,5,4,5,5,5,4,4,3,5,4,5,4,96,4,2,3,2,1,1,1,1,0,0,0,1,5
32,1,1,1,4,3,2,1,1,1,1,1,0,0,0,1,0,0,3,3,4,3,3,4,4,4,4,5,4,5,3,5,2,2,4,2,2,3,3,3,4,4,4,4,4,4,4,4,3,4,98,4,2,2,1,4,4,98,4,98,3,2,4,3,4,3,3,2,2,3,4,3,3,98,98,98,4,5,3,3,2,2,2,2,1,3,4,4,4,2,3,3,4,5,5,2,5,5,2,4,3,5,1,1,4,3,3,1,2,2,4,4,2,2,1,0,0,1,0,0,0,2,4
33,1,1,1,2,3,4,0,0,0,1,1,0,0,0,0,0,0,3,3,4,1,1,2,3,2,2,4,5,5,5,5,4,2,2,2,4,3,3,1,2,5,4,98,4,3,4,98,2,2,3,98,98,4,5,2,98,98,98,98,5,3,5,5,5,5,98,4,4,4,4,5,1,1,1,2,5,5,3,4,2,3,3,4,2,4,3,5,4,3,3,4,3,4,4,3,5,4,3,4,3,2,1,4,5,7,2,3,2,1,2,4,10,2,0,0,0,0,1,0,0,2,95
34,1,1,1,3,1,3,1,0,0,0,0,1,0,0,0,0,0,4,4,4,2,2,2,3,3,2,4,4,3,5,5,4,4,4,2,3,3,2,2,1,2,1,3,98,2,3,3,1,98,1,2,3,4,3,98,98,98,5,4,5,4,5,4,4,4,98,4,4,1,2,1,2,2,3,4,4,4,2,3,1,2,1,1,1,2,1,1,2,2,1,2,3,4,4,2,3,3,1,3,1,3,3,1,3,6,3,2,5,5,4,4,20,2,1,1,1,0,0,1,0,2,4
35,1,1,1,3,3,4,1,1,0,1,1,1,1,1,1,1,0,5,5,3,3,2,4,4,5,4,5,5,5,5,5,4,2,2,2,3,3,4,4,4,4,4,2,3,3,4,3,3,3,4,3,4,4,3,4,3,3,2,3,2,3,4,2,3,4,4,4,4,1,1,1,1,4,1,5,4,5,3,5,98,5,5,5,5,5,5,5,4,3,2,2,2,5,4,3,3,5,5,5,2,2,2,5,2,2,3,2,90,2,4,4,5,1,0,0,0,0,0,0,1,1,3
36,1,1,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,4,5,5,4,4,3,5,5,5,5,5,5,5,5,4,1,3,1,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,98,5,1,5,1,1,1,4,1,5,2,1,1,1,1,1,5,1,5,4,5,4,4,98,5,4,2,5,5,5,5,4,3,5,1,5,5,5,3,5,4,1,5,4,5,5,4,4,5,3,4,2,2,3,5,30,1,1,1,0,0,0,1,0,3,1
37,1,1,1,2,4,2,1,1,0,1,0,0,0,0,0,0,0,3,3,4,2,2,3,4,4,3,5,5,4,5,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,2,2,1,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,11,11,3,2,3,3,3,8,10,4,1,0,0,0,1,0,0,1,95
38,1,1,1,4,2,2,0,1,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,2,3,3,4,3,4,3,4,3,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,4,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,2,3,3,3,2,4,6,6,3,5,3,3,3,4,10,1,1,0,0,1,0,0,0,3,2
39,1,1,1,2,2,4,0,0,0,1,0,0,0,0,0,0,0,4,4,4,2,2,3,2,2,2,3,4,2,5,5,5,2,1,1,2,2,3,4,2,2,2,1,2,1,1,2,1,5,1,1,5,2,4,4,2,98,4,2,4,2,4,4,4,2,3,5,4,5,5,5,2,3,3,1,3,3,3,4,3,3,3,3,1,3,2,3,2,2,2,3,3,5,4,2,2,4,1,2,2,3,1,2,5,5,3,1,3,3,4,5,10,3,1,1,0,1,0,0,0,2,3
40,1,1,1,3,4,4,1,0,1,1,1,1,0,0,0,1,0,4,3,4,4,3,3,5,4,3,4,2,4,3,4,2,2,3,3,5,5,5,3,4,3,5,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,5,4,2,3,5,5,4,3,3,3,5,1,2,1,2,3,2,4,4,5,2,3,1,3,3,3,3,3,4,3,3,1,2,2,2,2,2,3,3,4,1,3,1,1,2,4,4,7,3,1,3,2,3,4,7,3,1,0,0,0,0,0,1,1,4
41,1,1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,1,5,3,3,5,2,4,4,5,3,2,3,3,3,3,2,4,2,3,3,3,4,3,4,4,3,4,4,3,2,3,2,2,2,2,4,3,4,3,3,4,4,4,3,4,2,2,2,2,2,3,2,3,4,5,4,4,3,3,4,2,2,3,3,2,3,3,3,3,3,3,3,2,2,5,5,2,2,3,2,2,5,6,4,1,4,4,4,5,5,2,0,0,0,0,0,0,1,1,2
42,1,1,1,1,3,1,0,0,0,1,1,1,0,0,0,0,0,3,4,4,2,2,3,3,4,3,3,3,4,5,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,3,3,4,4,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,2,3,3,4,4,3,2,1,4,6,3,3,4,4,4,5,20,2,0,0,0,1,0,0,0,3,3
43,1,1,1,2,4,1,0,0,0,1,0,0,0,0,0,0,0,3,2,4,3,3,3,4,4,2,5,4,5,5,5,4,1,2,3,3,3,2,4,4,4,4,4,3,4,4,4,4,3,3,3,2,4,2,5,3,3,4,4,4,3,4,3,4,4,3,4,4,2,3,2,3,2,2,3,3,3,2,3,2,1,1,1,1,1,1,1,3,2,3,4,2,4,3,3,3,4,3,3,1,1,1,1,,,99,99,3,3,3,8,1,4,1,0,0,0,0,0,1,2,95
44,1,1,1,4,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,2,1,2,2,2,2,3,2,2,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,,3,2,3,3,3,3,5,1,0,0,0,1,0,0,0,1,5
45,1,1,1,3,2,4,1,1,1,1,0,0,1,1,1,1,0,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4,2,3,4,3,3,3,4,4,4,4,3,3,3,4,4,3,98,2,98,98,4,3,2,3,98,4,4,98,3,3,4,4,4,98,3,98,2,2,2,3,4,4,4,4,4,2,3,2,3,2,3,3,4,3,4,2,3,3,4,3,5,5,3,4,4,2,3,2,3,1,2,4,8,3,1,97,96,96,5,15,4,0,1,1,1,0,0,0,1,5
46,1,1,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,3,2,4,3,3,4,2,3,1,4,4,3,5,5,3,1,1,2,4,5,4,3,2,2,3,4,3,98,98,4,3,3,3,98,3,2,3,2,98,98,4,3,3,3,3,3,4,3,98,4,3,2,2,2,1,98,98,98,4,4,3,3,2,1,2,2,3,4,3,4,3,3,3,2,3,5,4,3,3,3,2,3,3,5,4,1,4,6,3,1,97,98,98,2,10,1,0,1,0,0,1,0,0,1,1
47,1,1,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,4,3,2,5,5,3,2,3,3,3,4,3,4,5,4,4,4,4,4,4,5,3,5,4,4,98,4,98,3,3,5,5,4,5,3,3,4,5,5,3,3,5,3,3,4,1,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,5,4,3,3,5,3,5,4,5,1,2,5,5,4,99,4,4,4,4,10,3,1,0,0,1,0,0,0,2,2
48,1,1,1,4,3,2,1,1,0,1,1,1,0,1,0,1,0,2,3,3,3,3,3,4,4,4,3,3,3,4,4,3,3,2,3,2,2,3,4,4,4,4,4,4,3,4,4,3,2,4,4,4,2,2,5,3,3,4,3,4,3,4,4,3,3,4,3,3,1,1,1,1,3,1,3,4,4,2,3,3,3,2,3,3,5,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,4,2,3,5,5,4,3,3,3,4,8,0,4,1,1,0,0,1,0,0,3,1
49,1,1,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,4,3,3,3,3,4,4,4,4,4,4,3,4,5,3,2,2,3,3,3,3,4,4,3,4,98,4,98,4,98,98,98,98,98,2,2,2,4,98,98,98,98,98,2,4,4,4,4,98,98,98,3,3,3,1,3,2,3,4,4,4,5,98,5,5,5,5,5,5,5,3,4,4,3,4,4,4,4,3,4,4,4,3,3,3,4,4,4,2,3,4,4,5,5,1,1,1,0,0,0,0,0,1,1,1
50,1,1,2,4,1,3,1,1,0,0,0,0,0,0,0,0,0,4,3,4,4,4,3,4,4,5,5,5,4,4,3,4,1,3,1,5,5,5,4,4,4,5,3,5,5,4,4,4,3,3,3,2,3,3,2,4,3,4,3,3,3,3,5,5,5,3,3,2,1,1,1,1,4,1,4,5,5,5,5,3,3,4,4,3,3,1,5,4,3,3,2,3,5,4,3,4,5,3,5,3,5,3,5,3,4,3,1,2,2,2,3,5,2,0,0,0,1,0,0,0,1,4
51,1,1,1,1,3,3,1,0,0,0,0,0,0,1,0,0,0,4,5,4,4,4,3,5,4,3,5,4,5,5,5,3,3,2,3,3,5,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,98,3,3,3,98,4,4,4,5,4,3,4,4,3,98,2,3,3,3,3,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,3,4,8,3,2,3,3,3,7,1,3,1,0,0,0,1,0,0,1,5
52,1,1,1,2,3,4,1,1,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,3,4,4,4,4,5,4,3,3,3,3,4,5,3,4,4,4,4,4,3,4,4,3,4,3,3,2,2,3,4,5,4,4,4,3,4,4,5,4,5,3,5,4,3,3,3,3,2,3,3,5,5,4,4,3,4,5,3,3,5,4,5,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,5,5,2,2,3,3,4,4,10,4,1,0,0,0,0,1,0,1,95
53,1,1,2,2,2,2,0,1,0,1,1,0,0,0,1,0,1,3,3,2,5,4,4,5,5,4,5,5,5,5,5,3,3,3,2,3,3,4,5,5,3,5,4,4,98,5,5,4,4,4,98,1,1,1,1,98,98,98,98,98,98,4,4,3,2,98,2,98,98,2,98,1,98,98,5,5,4,5,5,5,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,5,5,5,5,3,4,3,3,6,6,4,2,2,2,2,2,25,3,0,1,1,1,0,0,0,2,1
